,Название площадки,Адрес,vector
62,ДК «Текстильщиков» (Орехово-Зуево),"г.Орехово-Зуево, Московская улица, дом 1","ДК «Текстильщиков» (Орехово-Зуево) г.Орехово-Зуево, Московская улица, дом 1"
63,Встреча у памятника Кириллу и Мефодию,"г. Москва, метро Китай город выход №10","Встреча у памятника Кириллу и Мефодию г. Москва, метро Китай город выход №10"
64,Театр музыки и драмы п/р Стаса Намина,"г.Москва, ул.Крымский вал, дом 9, строение 33","Театр музыки и драмы п/р Стаса Намина г.Москва, ул.Крымский вал, дом 9, строение 33"
65,Театр Сатиры,"г.Москва, Триумфальная  площадь, 2","Театр Сатиры г.Москва, Триумфальная  площадь, 2"
66,"Драматический театр «Вернадского, 13»","г. Москва, проспект Вернадского, дом 13","Драматический театр «Вернадского, 13» г. Москва, проспект Вернадского, дом 13"
67,Культурный центр «Москвич»,"г.Москва, Волгоградский пр-т, 46/15","Культурный центр «Москвич» г.Москва, Волгоградский пр-т, 46/15"
68,Зал Церковных Соборов Храма Христа Спасителя,"г.Москва, ул. Волхонка, 15","Зал Церковных Соборов Храма Христа Спасителя г.Москва, ул. Волхонка, 15"
69,Театр на Трубной / Школа современной пьесы,"г.Москва, Неглинная ул., 29, стр.1","Театр на Трубной / Школа современной пьесы г.Москва, Неглинная ул., 29, стр.1"
70,Учебный театр Школы-студии МХАТ,"г. Москва, Камергерский переулок, дом 3а","Учебный театр Школы-студии МХАТ г. Москва, Камергерский переулок, дом 3а"
71,Симоновская сцена Театра имени Евгения Вахтангова,"г.Москва, Калошин пер., д.10, стр.2","Симоновская сцена Театра имени Евгения Вахтангова г.Москва, Калошин пер., д.10, стр.2"
72,"Клуб «Прощай, оружие!»","г. Дубна, пр. Боголюбова, 26","Клуб «Прощай, оружие!» г. Дубна, пр. Боголюбова, 26"
73,Театр «Золотое кольцо»,"г. Москва, Тимирязевская ул., 17","Театр «Золотое кольцо» г. Москва, Тимирязевская ул., 17"
