,Название площадки,Адрес,vector
530,Рахманиновское общество,"ул. Большая Ордынка, д.6/2, строение 1","Рахманиновское общество ул. Большая Ордынка, д.6/2, строение 1"
531,Ресторан «Каспийка»,"г. Москва, улица Мясницкая, дом 24/7, с.2","Ресторан «Каспийка» г. Москва, улица Мясницкая, дом 24/7, с.2"
532,Ресторан «Нью-Йорк пицца и гриль»,"г. Москва, Серебряническая набережная, дом 29","Ресторан «Нью-Йорк пицца и гриль» г. Москва, Серебряническая набережная, дом 29"
533,Ресторан «Хлеб и вино»,"г. Москва, улица Тверская, дом 12, строение 2","Ресторан «Хлеб и вино» г. Москва, улица Тверская, дом 12, строение 2"
534,Московская усадьба Деда Мороза,"г. Москва, Волгоградский проспект, владение 168 Д","Московская усадьба Деда Мороза г. Москва, Волгоградский проспект, владение 168 Д"
535,Дом культуры «Коммунарка»,"посёлок Коммунарка, улица Александры Монаховой, дом 21А","Дом культуры «Коммунарка» посёлок Коммунарка, улица Александры Монаховой, дом 21А"
536,Театральный институт имени Бориса Щукина,"Большой Николопесковский переулок, дом 12а, строение 1","Театральный институт имени Бориса Щукина Большой Николопесковский переулок, дом 12а, строение 1"
537,Олимпийский Комплекс «Лужники»,"г. Москва, Лужники, 24","Олимпийский Комплекс «Лужники» г. Москва, Лужники, 24"
538,Театральный Дом «Аполлинария»,"Москва, Малый Харитоньевский переулок, дом 10с2","Театральный Дом «Аполлинария» Москва, Малый Харитоньевский переулок, дом 10с2"
539,Театр имени А.С. Пушкина,"г.Москва, Тверской бульвар, 23","Театр имени А.С. Пушкина г.Москва, Тверской бульвар, 23"
540,Мемориальная усадьба Шаляпина,"Новинский б-р, 25/27","Мемориальная усадьба Шаляпина Новинский б-р, 25/27"
541,Музей современного искусства,"ул. Петровка, д. 25","Музей современного искусства ул. Петровка, д. 25"
542,"Теплоход «Париход» (Северный речной вокзал, причал №1)","Москва, Ленинградское шоссе, дом 51","Теплоход «Париход» (Северный речной вокзал, причал №1) Москва, Ленинградское шоссе, дом 51"
543,ЧЗЭМ «Энергомаш» г. Чехов,"Московская область, г. Чехов, улица Гагарина, дом 1","ЧЗЭМ «Энергомаш» г. Чехов Московская область, г. Чехов, улица Гагарина, дом 1"
544,Театр мюзикла,"г.Москва, Пушкинская пл. д. 2","Театр мюзикла г.Москва, Пушкинская пл. д. 2"
545,Бар «Nudles»,"г. Москва, Столешников переулок, д. 8","Бар «Nudles» г. Москва, Столешников переулок, д. 8"
546,Дом сказок «Жили-Были»,"г. Москва, Кремль в Измайлово, Измайловское ш., 73ж","Дом сказок «Жили-Были» г. Москва, Кремль в Измайлово, Измайловское ш., 73ж"
547,Петровский путевой дворец,"Ленинградский проспект, дом 40","Петровский путевой дворец Ленинградский проспект, дом 40"
548,Бизнес-школа «Бизнес Инсайт»,"г. Москва, Шоссе Энтузиастов, дом 56","Бизнес-школа «Бизнес Инсайт» г. Москва, Шоссе Энтузиастов, дом 56"
549,Клуб «Base»,"Улица Орджоникидзе, дом 11","Клуб «Base» Улица Орджоникидзе, дом 11"
550,Театр «Школа драматического искусства» Сцена на Новослободской,"Новослободская улица, дом 23","Театр «Школа драматического искусства» Сцена на Новослободской Новослободская улица, дом 23"
551,Музей «Буратино-Пиноккио»,"г. Москва, улица 2-ая Парковая, дом 18","Музей «Буратино-Пиноккио» г. Москва, улица 2-ая Парковая, дом 18"
552,Гоголевский бульвар,"г. Москва, На Гоголевском бульваре у выхода №1 из метро «Кропоткинская»","Гоголевский бульвар г. Москва, На Гоголевском бульваре у выхода №1 из метро «Кропоткинская»"
553,Театр на Юго-Западе,"г.Москва, Вернадского пр-т, 125","Театр на Юго-Западе г.Москва, Вернадского пр-т, 125"
554,Рок-бар «Штопор» Москва,"г. Москва, Шарикоподшипниковская ул., д.38, стр.1,","Рок-бар «Штопор» Москва г. Москва, Шарикоподшипниковская ул., д.38, стр.1,"
555,Музей «Интегация» им. Н.А. Островского,"г. Москва, ул. Тверская, д. 14","Музей «Интегация» им. Н.А. Островского г. Москва, ул. Тверская, д. 14"
556,Пространство «Off-Театр»,"Большой Сухаревский переулок, дом 21с2","Пространство «Off-Театр» Большой Сухаревский переулок, дом 21с2"
557,Дворец спорта «Лобня»,"Московская область, Лобня, улица Ленина, дом 65, строение 3","Дворец спорта «Лобня» Московская область, Лобня, улица Ленина, дом 65, строение 3"
558,Swan Lake,"г. Москва, ул. Крымский Вал, д. 9, стр. 22","Swan Lake г. Москва, ул. Крымский Вал, д. 9, стр. 22"
559,Ресторан «Grey»,"г. Москва, Озерковская набережная, д. 26","Ресторан «Grey» г. Москва, Озерковская набережная, д. 26"
560,Северный речной вокзал (Причал 1),"г. Москва, Ленинградское шоссе, 51, Причал 1","Северный речной вокзал (Причал 1) г. Москва, Ленинградское шоссе, 51, Причал 1"
561,КСЦ Мечта,"г. Одинцово, улица Маршала Жукова, дом 38","КСЦ Мечта г. Одинцово, улица Маршала Жукова, дом 38"
562,Парк аттракционов «Кроха» в Измайловском Парке,"г. Москва, улица Народный проспект, с. 2","Парк аттракционов «Кроха» в Измайловском Парке г. Москва, улица Народный проспект, с. 2"
563,Перовский парк,"г. Москва, улица Лазо, 7","Перовский парк г. Москва, улица Лазо, 7"
564,Воронцовский парк,"г. Москва, Воронцовский парк, 3","Воронцовский парк г. Москва, Воронцовский парк, 3"
565,Ресторан «Gayane’s»,"г. Москва, 2й Смоленский переулок, дом 1/4","Ресторан «Gayane’s» г. Москва, 2й Смоленский переулок, дом 1/4"
566,Тематический парк аттракционов «Эльфити» в Измайловском Парке,"г. Москва, Московский проспект, 2 (главный вход)","Тематический парк аттракционов «Эльфити» в Измайловском Парке г. Москва, Московский проспект, 2 (главный вход)"
567,Театр на Басманной,"г. Москва, улица Новая Басманная, 37, строение 1 (Здание управы Басманного района)","Театр на Басманной г. Москва, улица Новая Басманная, 37, строение 1 (Здание управы Басманного района)"
568,Московский Дом Книги,"г. Москва, улица Новый Арбат, дом 8","Московский Дом Книги г. Москва, улица Новый Арбат, дом 8"
569,VIP МТС Live Лето,"г. Москва, улица Лужники, дом 24","VIP МТС Live Лето г. Москва, улица Лужники, дом 24"
570,Музей современного искусства (филиал 3),"г. Москва, Ермолаевский переулок, дом 17, строение 1","Музей современного искусства (филиал 3) г. Москва, Ермолаевский переулок, дом 17, строение 1"
571,Guests in the city,"г. Москва, улица Арбат, дом 1","Guests in the city г. Москва, улица Арбат, дом 1"
572,Театр «Гжель»,"г.Москва, ул. Свободы, 10","Театр «Гжель» г.Москва, ул. Свободы, 10"
573,Электротеатр Станиславский,"г. Москва, Тверская улица, дом 23","Электротеатр Станиславский г. Москва, Тверская улица, дом 23"
574,КСК «Ледовый дворец Витязь»,"Московская область, г. Подольск, ул.Кирова, д.63А","КСК «Ледовый дворец Витязь» Московская область, г. Подольск, ул.Кирова, д.63А"
575,Дворец спорта «Мегаспорт» на Ходынском поле,"г.Москва, Ходынский бульвар, д.3","Дворец спорта «Мегаспорт» на Ходынском поле г.Москва, Ходынский бульвар, д.3"
576,Центр театра и кино п/р Никиты Михалкова. ГИТИС (Новая сцена),"г. Москва, улица Академика Пилюгина, дом 2","Центр театра и кино п/р Никиты Михалкова. ГИТИС (Новая сцена) г. Москва, улица Академика Пилюгина, дом 2"
577,ДК «Капотня»,"109429, г.Москва, Капотня, 2-й квартал, д. 20А","ДК «Капотня» 109429, г.Москва, Капотня, 2-й квартал, д. 20А"
578,МТКМО «Градский Холл»,"г. Москва, Коровий вал, дом 3, стр.1","МТКМО «Градский Холл» г. Москва, Коровий вал, дом 3, стр.1"
579,Арт-центр «Эфир»,"Нижний Сусальный переулок, 5, строение 18 (завод АРМА)","Арт-центр «Эфир» Нижний Сусальный переулок, 5, строение 18 (завод АРМА)"
580,Арт-ресторан «Singer»,"г. Москва, улица Арбат, дом 13","Арт-ресторан «Singer» г. Москва, улица Арбат, дом 13"
581,Театр на Покровке,"г.Москва, ул. Покровка, д. 50, стр. 1","Театр на Покровке г.Москва, ул. Покровка, д. 50, стр. 1"
582,КТЦ «Дружба» (Чехов),"МО г.Чехов, ул. Чехова, 45","КТЦ «Дружба» (Чехов) МО г.Чехов, ул. Чехова, 45"
583,Музей-квартира Вахтангова,"г.Москва, Денежный переулок д.12 (1-й этаж)","Музей-квартира Вахтангова г.Москва, Денежный переулок д.12 (1-й этаж)"
584,Московский театр иллюзии. Сцена на Перовской,"г.Москва, ул. Перовская, д.75","Московский театр иллюзии. Сцена на Перовской г.Москва, ул. Перовская, д.75"
585,Клуб «Blanc»,"Москва, Хохловский пер., 7-9с5","Клуб «Blanc» Москва, Хохловский пер., 7-9с5"
586,Бар «Слёзы»,"г. Москва, переулок Костомаровский, дом 3, строение 12","Бар «Слёзы» г. Москва, переулок Костомаровский, дом 3, строение 12"
587,Детский сказочный театр,"г. Москва, Большой Факельный переулок, дом 18, строение 2","Детский сказочный театр г. Москва, Большой Факельный переулок, дом 18, строение 2"
588,Водный стадион «Динамо»,"Москва, Ленинградское ш., 39 стр. 53","Водный стадион «Динамо» Москва, Ленинградское ш., 39 стр. 53"
589,УСК «Крылья советов»,"г. Москва, Ленинградский пр-т, 24а","УСК «Крылья советов» г. Москва, Ленинградский пр-т, 24а"
590,АНО ЦКИ АДМИРАЛТЕЙСКИЙ,"г. Санкт-Петербург, улица Боровая, дом 23","АНО ЦКИ АДМИРАЛТЕЙСКИЙ г. Санкт-Петербург, улица Боровая, дом 23"
591,Клуб «Retro Hall»,"ул. Пятницкая, д.71/5, стр.2","Клуб «Retro Hall» ул. Пятницкая, д.71/5, стр.2"
592,Театр Романа Виктюка,"ул.Стромынка, д.6","Театр Романа Виктюка ул.Стромынка, д.6"
593,Киноконцертный зал «Октябрь»,"улица Новый Арбат, дом 24","Киноконцертный зал «Октябрь» улица Новый Арбат, дом 24"
594,Музей Марины Цветаевой,Борисоглебский переулок дом 6 строение 1,Музей Марины Цветаевой Борисоглебский переулок дом 6 строение 1
595,Парк «Экстрим» Ледового дворца,"г. Дмитров, улица Профессиональная, дом 25","Парк «Экстрим» Ледового дворца г. Дмитров, улица Профессиональная, дом 25"
596,Дворец культуры Ступино,"МО, г. Ступино, пр-т Победы, д. 18/43","Дворец культуры Ступино МО, г. Ступино, пр-т Победы, д. 18/43"
597,КДЦ Дулёвский,"г. Ликино-Дулево, ул. Ленина, д. 1","КДЦ Дулёвский г. Ликино-Дулево, ул. Ленина, д. 1"
598,ДК «Коломна»,"Коломна, Окский пр-кт, д.17","ДК «Коломна» Коломна, Окский пр-кт, д.17"
599,КДЦ «Сатурн»," Московская область, г.Раменское, ул. Михалевича д.2","КДЦ «Сатурн»  Московская область, г.Раменское, ул. Михалевича д.2"
600,Клуб «Город»,"Москва, улица Лесная, дом 30А","Клуб «Город» Москва, улица Лесная, дом 30А"
601,Бар «Дача Гашека»,"г.Москва, Долгоруковская улица, дом 31, строение 32","Бар «Дача Гашека» г.Москва, Долгоруковская улица, дом 31, строение 32"
602,Есенин-центр (Музей Есенина),"г. Москва, переулок Чернышевского, дом 4, строение 2","Есенин-центр (Музей Есенина) г. Москва, переулок Чернышевского, дом 4, строение 2"
603,МЕГА Химки,"Мос. область, г. Химки, 8-й микрорайон, корпус 2","МЕГА Химки Мос. область, г. Химки, 8-й микрорайон, корпус 2"
604,Музыкальный клуб «Magnus Locus»,"Проспект мира, дом 12 строение 9","Музыкальный клуб «Magnus Locus» Проспект мира, дом 12 строение 9"
605,Государственный музейно-выставочный центр «РОСИЗО»,"Петроверигский переулок, дом 4, строение 1","Государственный музейно-выставочный центр «РОСИЗО» Петроверигский переулок, дом 4, строение 1"
606,Московский городской дом учителя,"г. Москва, улица Днепропетровская, дом 25, корп. 2","Московский городской дом учителя г. Москва, улица Днепропетровская, дом 25, корп. 2"
607,Библиотека №7 им. А. де Сент-Экзюпери,"г. Москва, 2-й Красносельский переулок, дом 2","Библиотека №7 им. А. де Сент-Экзюпери г. Москва, 2-й Красносельский переулок, дом 2"
608,Экскурсия в г. Сергиев Посад,г. Сергиев Посад,Экскурсия в г. Сергиев Посад г. Сергиев Посад
609,Цирк Чудес в Кунцево (КЦ «Зодчие»),"г. Москва, ул. Партизанская, д.23","Цирк Чудес в Кунцево (КЦ «Зодчие») г. Москва, ул. Партизанская, д.23"
610,&Action Bar,"г. Москва, Дербеневская набережная, дом 7, строение 12","&Action Bar г. Москва, Дербеневская набережная, дом 7, строение 12"
611,Парк живой истории «Городецкое гульбище»,"Сергиево-Посадский округ, Лозовское","Парк живой истории «Городецкое гульбище» Сергиево-Посадский округ, Лозовское"
612,Москва-сити. Башня «Империя»,"Москва, Пресненская набережная, 6, стр.2","Москва-сити. Башня «Империя» Москва, Пресненская набережная, 6, стр.2"
613,Отель «На Казачьем»,"г. Москва, 1-ый Казачий переулок, дом 4","Отель «На Казачьем» г. Москва, 1-ый Казачий переулок, дом 4"
614,Теплоход «РИО-1» Причал «Кутузовский»,"г. Москва. Набережная Тараса Шевченко, дом 29","Теплоход «РИО-1» Причал «Кутузовский» г. Москва. Набережная Тараса Шевченко, дом 29"
615,Подворье Храма Сергия Радонежского,"г. Москва, Ходынский бульвар, дом 6, с.1","Подворье Храма Сергия Радонежского г. Москва, Ходынский бульвар, дом 6, с.1"
616,ДК «Юбилейный» г. Воскресенск,"г. Воскресенск, Ул. Андреса, 1Б","ДК «Юбилейный» г. Воскресенск г. Воскресенск, Ул. Андреса, 1Б"
617,Ресторан «Импровизация»,"г. Москва, Садовническая набережная, 69","Ресторан «Импровизация» г. Москва, Садовническая набережная, 69"
618,Бар «Руки ВВерх!»,"г. Москва, Москва, Нижегородская, 2к1","Бар «Руки ВВерх!» г. Москва, Москва, Нижегородская, 2к1"
619,Ресторан «Небо на ладони»,"г. Москва, 3-я улица ямского поля 24","Ресторан «Небо на ладони» г. Москва, 3-я улица ямского поля 24"
620,Дворец культуры г. Щербинка,"улица Театральная, дом 1а","Дворец культуры г. Щербинка улица Театральная, дом 1а"
621,ЦКиД «Мечта»,"ул. Московская, 9-а, Орехово-Зуево, Московская обл., 142601","ЦКиД «Мечта» ул. Московская, 9-а, Орехово-Зуево, Московская обл., 142601"
622,Ресторан «Особое место»,"Москва, Трёхпрудный переулок 11/13 стр.2.","Ресторан «Особое место» Москва, Трёхпрудный переулок 11/13 стр.2."
623,Клуб «Life Pub»,"Москва, ул. Ф. Энгельса д. 20","Клуб «Life Pub» Москва, ул. Ф. Энгельса д. 20"
624,«Smile :)» Театр,"г. Москва, Подколокольный переулок, дом 8","«Smile :)» Театр г. Москва, Подколокольный переулок, дом 8"
625,Бар «Руки Вверх!» (Тверская),"Москва, улица Тверская, дом 22","Бар «Руки Вверх!» (Тверская) Москва, улица Тверская, дом 22"
626,Клуб «Community»,"г. Москва, Космодамианская наб., 2","Клуб «Community» г. Москва, Космодамианская наб., 2"
627,Московская хоральная синагога,"г. Москва, Большой Спасоглинищевский пер., д. 10","Московская хоральная синагога г. Москва, Большой Спасоглинищевский пер., д. 10"
628,Ресторан «Perfect Pitch»,"г. Москва, Берсеневский переулок, дом 5 стр. 2","Ресторан «Perfect Pitch» г. Москва, Берсеневский переулок, дом 5 стр. 2"
629,Центр Булгакова на Арбате,"г. Москва, Большой Афанасьевский переулок, д. 35-37, стр.4","Центр Булгакова на Арбате г. Москва, Большой Афанасьевский переулок, д. 35-37, стр.4"
630,Особняк Василия Хлудова,"г. Москва, улица Новая Басманная, дом 19, стр. 1","Особняк Василия Хлудова г. Москва, улица Новая Басманная, дом 19, стр. 1"
631,Академ джаз клуб (в ресторане «Венеция»),"Москва улица Арбат, дом 38/1 строение 1","Академ джаз клуб (в ресторане «Венеция») Москва улица Арбат, дом 38/1 строение 1"
632,Национальный исследовательский университет «МЭИ»,"г. Москва, улица Красноказарменная, 13, корп. H, аудитория Н-202","Национальный исследовательский университет «МЭИ» г. Москва, улица Красноказарменная, 13, корп. H, аудитория Н-202"
633,Культурный центр «Лира»,"г.Москва, бульвар Адмирала Ушакова, дом 12","Культурный центр «Лира» г.Москва, бульвар Адмирала Ушакова, дом 12"
634,ДК «Буревестник» (Молоково),"г. Видное, село Молоково, Революционная улица, дом 161 к. 1","ДК «Буревестник» (Молоково) г. Видное, село Молоково, Революционная улица, дом 161 к. 1"
635,Центр новой культуры «Мир искусств»,"г. Москва, улица Смоленская набережная, дом 5/13","Центр новой культуры «Мир искусств» г. Москва, улица Смоленская набережная, дом 5/13"
636,Караоке Лубянка,"г. Москва, улица Большой Кисельный переулок, дом 16/13","Караоке Лубянка г. Москва, улица Большой Кисельный переулок, дом 16/13"
637,Театр ВГИК,"г. Москва, ул. Вильгельма Пика, д.3","Театр ВГИК г. Москва, ул. Вильгельма Пика, д.3"
638,Музей Победы,"г. Москва, Площадь Победы, д. 3","Музей Победы г. Москва, Площадь Победы, д. 3"
639,Клуб «Glastonberry»,"ул.1-ая Дубровская, д.13А, стр. 1","Клуб «Glastonberry» ул.1-ая Дубровская, д.13А, стр. 1"
640,Студия имиджа LePrima,"107031, Москва. Дмитровский пер., д. 4, стр. 2","Студия имиджа LePrima 107031, Москва. Дмитровский пер., д. 4, стр. 2"
641,КДЦ «Зимний театр»,"Московская область, г. Орехово-Зуево, улица Бугрова, дом 5","КДЦ «Зимний театр» Московская область, г. Орехово-Зуево, улица Бугрова, дом 5"
642,Музей «Новый Иерусалим»,"Московская обл.,Истринский район, г.Истра, ул.Ново-Иерусалимская набережная,д.1","Музей «Новый Иерусалим» Московская обл.,Истринский район, г.Истра, ул.Ново-Иерусалимская набережная,д.1"
643,Музей Дедушкин чердак,"г. Москва, Измайловское шоссе, 73Ж","Музей Дедушкин чердак г. Москва, Измайловское шоссе, 73Ж"
644,Двор клуба «Урбан»,"г. Москва, Большая Новодмитровская улица, дом 36 строение 24","Двор клуба «Урбан» г. Москва, Большая Новодмитровская улица, дом 36 строение 24"
645,Пентхаус на Мосфильмовской,"г. Москва, Мосфильмовская улица, дом 70","Пентхаус на Мосфильмовской г. Москва, Мосфильмовская улица, дом 70"
646,Бар «Ладья»,"г. Москва, Усадьба Кожиных, переулок Столешников, д. 6, стр.1","Бар «Ладья» г. Москва, Усадьба Кожиных, переулок Столешников, д. 6, стр.1"
647,Внутришоу,"улица Новодмитровская, 1, стр. 4, Хлебозавод № 9, пространство «Ангар»","Внутришоу улица Новодмитровская, 1, стр. 4, Хлебозавод № 9, пространство «Ангар»"
648,Театральный центр «Филантроп»,"г. Москва, Плетешковский переулок, дом 5","Театральный центр «Филантроп» г. Москва, Плетешковский переулок, дом 5"
649,Клуб «1930 Moscow»,"Партийный переулок, д.1, кор.6","Клуб «1930 Moscow» Партийный переулок, д.1, кор.6"
650,Музей-мастерская Дмитрия Налбандяна,"Тверская ул., д.8, кор. 2, код 31, 9-й этаж (вход в арку с Тверского проезда)","Музей-мастерская Дмитрия Налбандяна Тверская ул., д.8, кор. 2, код 31, 9-й этаж (вход в арку с Тверского проезда)"
651,Серпуховский музыкально-драматический театр,"Серпухов, улица Чехова, дом 58/27","Серпуховский музыкально-драматический театр Серпухов, улица Чехова, дом 58/27"
652,Клуб «Pravda»,"г. Москва, Варшавское шоссе, дом 26с12","Клуб «Pravda» г. Москва, Варшавское шоссе, дом 26с12"
653,Театр музыки и шоу «III РИМ»,"Московская область, г. Пушкино, Красноармейское шоссе, стр. 104. ТРЦ «Пушкино Парк»","Театр музыки и шоу «III РИМ» Московская область, г. Пушкино, Красноармейское шоссе, стр. 104. ТРЦ «Пушкино Парк»"
654,Депо,"г. Москва, улица Лесная, дом 20, стр. 3","Депо г. Москва, улица Лесная, дом 20, стр. 3"
655,Библиотека иностранной литературы имени Рудомино,"109189,г.Москва,Николоямская ул., д. 1","Библиотека иностранной литературы имени Рудомино 109189,г.Москва,Николоямская ул., д. 1"
656,Яровит Холл (Якиманка),"Улица Большая Якиманка, дом 26","Яровит Холл (Якиманка) Улица Большая Якиманка, дом 26"
657,Усадьба Люблино,"г. Москва, улица Летняя, дом 1, строение 1","Усадьба Люблино г. Москва, улица Летняя, дом 1, строение 1"
658,"ВДНХ, площадь Промышленности","Проспект Мира, дом 119","ВДНХ, площадь Промышленности Проспект Мира, дом 119"
659,Корабль «River palace» причал Фрунзенский,"Отправление от причала Фрунзенский: Фрунзенская набережная, 46","Корабль «River palace» причал Фрунзенский Отправление от причала Фрунзенский: Фрунзенская набережная, 46"
660,Gazgolder Sound Garden,"Нижний Сусальный переулок, дом 7 строение 26","Gazgolder Sound Garden Нижний Сусальный переулок, дом 7 строение 26"
661,Larionov grill & bar,"г. Москва, ул. Люсиновская, 9","Larionov grill & bar г. Москва, ул. Люсиновская, 9"
662,Дом романса,"г. Москва, улица Расплетина, дом 2","Дом романса г. Москва, улица Расплетина, дом 2"
663,Artnovi Space,"г. Москва, улица Доброслободская, дом 3","Artnovi Space г. Москва, улица Доброслободская, дом 3"
664,Клуб «Live Stars»,"Берсеневский переулок, дом 5, стр. 2","Клуб «Live Stars» Берсеневский переулок, дом 5, стр. 2"
665,Парк «Сказка»,"Крылатская ул., 18","Парк «Сказка» Крылатская ул., 18"
666,Братеевский каскадный парк,"Москва, улица Борисовские пруды, дом 31","Братеевский каскадный парк Москва, улица Борисовские пруды, дом 31"
667,ДК «Исток»,"Московская область, г.Фрязино, ул.Комсомольская, д.17","ДК «Исток» Московская область, г.Фрязино, ул.Комсомольская, д.17"
668,Мастерская на Кулишках,"г. Москва, Большой Спасоглинищевский переулок, дом 3с5","Мастерская на Кулишках г. Москва, Большой Спасоглинищевский переулок, дом 3с5"
669,Лекторий Medio Modo,"г. Москва, Лубянский проезд, дом 19с1","Лекторий Medio Modo г. Москва, Лубянский проезд, дом 19с1"
670,ДК «Выстрел»,"Солнечногорск, улица Драгунского, дом 1","ДК «Выстрел» Солнечногорск, улица Драгунского, дом 1"
671,Москва-сити. Башня «Федерация»,"Пресненская набережная, дом 12","Москва-сити. Башня «Федерация» Пресненская набережная, дом 12"
672,Бутик Chapurin,"г. Москва, Большой Саввинский переулок, дом 12, стр. 6","Бутик Chapurin г. Москва, Большой Саввинский переулок, дом 12, стр. 6"
673,Ресторан-клуб «Jeremy»,улица Новокосинская дом 8 корпус 2,Ресторан-клуб «Jeremy» улица Новокосинская дом 8 корпус 2
674,Erd Loft,"Малая Семёновская, 3Ас1","Erd Loft Малая Семёновская, 3Ас1"
675,Дом поэтов,"г. Москва, Трехпрудный переулок, дом 8","Дом поэтов г. Москва, Трехпрудный переулок, дом 8"
676,КЦ «Шамбала»,"г. Москва, улица Марксистская, дом 9 строение 1","КЦ «Шамбала» г. Москва, улица Марксистская, дом 9 строение 1"
677,КРК «Кремль в Измайлово»,"г. Москва, Измайловское шоссе, дом 73Ж","КРК «Кремль в Измайлово» г. Москва, Измайловское шоссе, дом 73Ж"
678,Культурный центр «Киевский»,"108800, г. Москва, Рабочий посёлок Киевский, дом 16 А","Культурный центр «Киевский» 108800, г. Москва, Рабочий посёлок Киевский, дом 16 А"
679,ДК Гайдаровец,"г. Москва, улица Земляной Вал, дом 27, стр. 3","ДК Гайдаровец г. Москва, улица Земляной Вал, дом 27, стр. 3"
680,Мытищинский театр «ФЭСТ»,"г. Мытищи, улица Щербакова, дом 6А","Мытищинский театр «ФЭСТ» г. Мытищи, улица Щербакова, дом 6А"
681,Ритц Карлтон Москва,"г. Москва, ул. Тверская, д. 3","Ритц Карлтон Москва г. Москва, ул. Тверская, д. 3"
682,ДК «Победа» (г.п. Удельная),"Московская область, Раменский городского округ, г.п. Удельная, ул. Солнечная, 35","ДК «Победа» (г.п. Удельная) Московская область, Раменский городского округ, г.п. Удельная, ул. Солнечная, 35"
683,Loft Far4,"Денисовский переулок, 30с1","Loft Far4 Денисовский переулок, 30с1"
684,Зеленый театр ВДНХ,"г. Москва, проспкт Мира 119, стр. 545","Зеленый театр ВДНХ г. Москва, проспкт Мира 119, стр. 545"
685,Магазин «Bubble»,"г. Москва, улица Большая Новодмитровская, дом 36, строение 2, вход 5","Магазин «Bubble» г. Москва, улица Большая Новодмитровская, дом 36, строение 2, вход 5"
686,Клуб на Чистом,"г. Москва, Чистый переулок, дом 6, строение 1","Клуб на Чистом г. Москва, Чистый переулок, дом 6, строение 1"
687,Бар «Руки Вверх!»,"г. Москва, Мичуринский проспект, дом 1, корпус 4","Бар «Руки Вверх!» г. Москва, Мичуринский проспект, дом 1, корпус 4"
688,Театральный центр «Партер»,"г. Москва, улица Бауманская, дом 20, строение 7","Театральный центр «Партер» г. Москва, улица Бауманская, дом 20, строение 7"
689,Галерея «Файн Арт»,"г. Москва, 4-й Сыромятнический переулок, 1/8 строение 9 (ЦСИ Винзавод)","Галерея «Файн Арт» г. Москва, 4-й Сыромятнический переулок, 1/8 строение 9 (ЦСИ Винзавод)"
690,Центр перформативного искусства «The Place»,"г. Москва, ЦСИ Винзавод, 4-й Сыромятнический переулок, 1/8, стр.6, под.11","Центр перформативного искусства «The Place» г. Москва, ЦСИ Винзавод, 4-й Сыромятнический переулок, 1/8, стр.6, под.11"
691,Театральный дом «Старый арбат»,"г. Москва, Филипповский переулок, дом 11, строение 2","Театральный дом «Старый арбат» г. Москва, Филипповский переулок, дом 11, строение 2"
692,Театр «Et Cetera» п/р Александра Калягина,"г.Москва, Фролов пер., 2","Театр «Et Cetera» п/р Александра Калягина г.Москва, Фролов пер., 2"
693,Театр Комедии,"г. Москва, Суворовская площадь дом 1/52 к2","Театр Комедии г. Москва, Суворовская площадь дом 1/52 к2"
694,Ресторан «Сенполия»,"г. Москва, Житная улица, дом 10.","Ресторан «Сенполия» г. Москва, Житная улица, дом 10."
695,Теплоход РИО-1 (причал Международная выставка),"г. Москва, Краснопресненская набережная, напротив Храма преподобного Серафима Саровского)","Теплоход РИО-1 (причал Международная выставка) г. Москва, Краснопресненская набережная, напротив Храма преподобного Серафима Саровского)"
696,Крыша павильона «Рабочий и колхозница»,"пр-т Мира, 123б, Москва, 129344","Крыша павильона «Рабочий и колхозница» пр-т Мира, 123б, Москва, 129344"
697,Бар «Truba»,"г. Москва, Льва Толстого, дом 23, корп.7, стр.3","Бар «Truba» г. Москва, Льва Толстого, дом 23, корп.7, стр.3"
698,Мультимедиа Арт Музей,"ул. Остоженка, д.16","Мультимедиа Арт Музей ул. Остоженка, д.16"
699,Театр Комедии (Сцена на Беговой),"г. Москва, ул. Розанова, дом 8,  стр. 1","Театр Комедии (Сцена на Беговой) г. Москва, ул. Розанова, дом 8,  стр. 1"
700,КЦ «Северный»,"г. Москва, 3-я Северная линия, дом 17","КЦ «Северный» г. Москва, 3-я Северная линия, дом 17"
701,Лубянка Холл (ЦДРИ),"107031, Москва, улица Пушечная, дом 9/6, строение 1","Лубянка Холл (ЦДРИ) 107031, Москва, улица Пушечная, дом 9/6, строение 1"
702,Лофт,"г. Москва, Лубянский проезд, дом 19, строение 1","Лофт г. Москва, Лубянский проезд, дом 19, строение 1"
703,Паб «Гроссбир»,"г. Москва, Большой Овчинниковский переулок, дом 18 строение 2","Паб «Гроссбир» г. Москва, Большой Овчинниковский переулок, дом 18 строение 2"
704,Концертный зал «Москва»,"г. Москва, Проспект Андропова, дом 1","Концертный зал «Москва» г. Москва, Проспект Андропова, дом 1"
705,Театр-Студия «Останкино»,"г. Москва, Мурманский проезд, дом 6","Театр-Студия «Останкино» г. Москва, Мурманский проезд, дом 6"
706,Яуза,"г. Москва, Яузский бульвар, дом 10 строение 3","Яуза г. Москва, Яузский бульвар, дом 10 строение 3"
707,Флотилия «Рэдиссон Ройал» Театральный Круиз,"г. Москва, Набережная Тараса Шевченко","Флотилия «Рэдиссон Ройал» Театральный Круиз г. Москва, Набережная Тараса Шевченко"
