,Адрес,для людей с нарушениями зрения,для людей с нарушениями слуха,для людей передвигающихся на креслах-колясках,для людей c нарушениями опорно-двигательного аппарата,для людей c умственными нарушениями,Название учреждения,vector
74," Москва, Большая Грузинская , 1, 17",1,1,0,1,1,ГАУ Московский зоологический парк,"ГАУ Московский зоологический парк  Москва, Большая Грузинская , 1, 17"
75," Москва, Большая Грузинская , 1, 111",1,1,1,1,1,ГАУ Московский зоологический парк,"ГАУ Московский зоологический парк  Москва, Большая Грузинская , 1, 111"
76," Москва, Большая Грузинская , 5, 3",1,1,1,1,1,ГАУ Московский зоологический парк,"ГАУ Московский зоологический парк  Москва, Большая Грузинская , 5, 3"
77," Москва, Большая Грузинская , 1, 50",1,1,1,1,1,ГАУ Московский зоологический парк,"ГАУ Московский зоологический парк  Москва, Большая Грузинская , 1, 50"
78," Москва, Большая Грузинская, 1, 5",1,1,1,1,1,ГАУ Московский зоологический парк,"ГАУ Московский зоологический парк  Москва, Большая Грузинская, 1, 5"
79," Москва, Большая Грузинская, 8, 59",1,1,1,1,1,ГАУ Московский зоологический парк,"ГАУ Московский зоологический парк  Москва, Большая Грузинская, 8, 59"
80," Москва, Большая Грузинская, 8, 57",1,1,1,1,1,ГАУ Московский зоологический парк,"ГАУ Московский зоологический парк  Москва, Большая Грузинская, 8, 57"
81," Москва, Большая Грузинская, 8, 26А",1,1,0,1,1,ГАУ Московский зоологический парк,"ГАУ Московский зоологический парк  Москва, Большая Грузинская, 8, 26А"
82," Москва, Большая Грузинская, 8, 10",1,1,1,1,1,ГАУ Московский зоологический парк,"ГАУ Московский зоологический парк  Москва, Большая Грузинская, 8, 10"
83," Москва, Большая Грузинская, 1, 106",1,1,1,1,1,ГАУ Московский зоологический парк,"ГАУ Московский зоологический парк  Москва, Большая Грузинская, 1, 106"
84," Москва, Большая Грузинская, 1, 1",1,1,1,1,1,ГАУ Московский зоологический парк,"ГАУ Московский зоологический парк  Москва, Большая Грузинская, 1, 1"
